<s>	sil #1
有加	CH_# CH_i CH_o CH_u CH_dzi CH_i CH_a
上限	CH_sc CH_a CH_N# CH_si CH_i CH_E CH_n#
送出	CH_s CH_o CH_N# CH_tsc CH_u
空白	CH_k CH_o CH_N# CH_b CH_a CH_i
帶給	CH_d CH_a CH_i CH_g CH_e CH_i
算得	CH_s CH_u CH_a CH_n# CH_d CH_@ #1
更少	CH_g CH_@ CH_N# CH_sc CH_a CH_u
出聲	CH_tsc CH_u CH_sc CH_@ CH_N#
八千	CH_b CH_a CH_tsi CH_i CH_E CH_n#
有數	CH_# CH_i CH_o CH_u CH_sc CH_u
女孩	CH_n CH_y CH_h CH_a CH_i
某些	CH_m CH_o CH_u CH_si CH_i CH_E
兩百	CH_l CH_i CH_a CH_N# CH_b CH_a CH_i #1
縮到	CH_s CH_u CH_o CH_d CH_a CH_u
混淆	CH_h CH_u CH_@ CH_n# CH_# CH_i CH_a CH_u
例如	CH_l CH_i CH_Zc CH_u
幾何	CH_dzi CH_i CH_h CH_@ #2
次要	CH_ts CH_U CH_# CH_i CH_a CH_u
倒數	CH_d CH_a CH_u CH_sc CH_u
能力	CH_n CH_@ CH_N# CH_l CH_i #1
好壞	CH_h CH_a CH_u CH_h CH_u CH_a CH_i
社會	CH_sc CH_@ CH_h CH_u CH_e CH_i
熱衷	CH_Zc CH_@ CH_dzc CH_o CH_N#
灰色	CH_h CH_u CH_e CH_i CH_s CH_@
五號	CH_# CH_u CH_h CH_a CH_u
球賽	CH_tsi CH_i CH_o CH_u CH_s CH_a CH_i
口水	CH_k CH_o CH_u CH_sc CH_u CH_e CH_i
文教	CH_# CH_u CH_@ CH_n# CH_dzi CH_i CH_a CH_u
校長	CH_si CH_i CH_a CH_u CH_dzc CH_a CH_N#
歌劇	CH_g CH_@ CH_dzi CH_y
表演	CH_b CH_i CH_a CH_u CH_# CH_i CH_E CH_n#
藍色	CH_l CH_a CH_n# CH_s CH_@
情況	CH_tsi CH_i CH_N# CH_k CH_u CH_a CH_N#
起見	CH_tsi CH_i CH_dzi CH_i CH_E CH_n#
等值	CH_d CH_@ CH_N# CH_dzc CH_Uc
以是	CH_# CH_i CH_sc CH_Uc #2
老早	CH_l CH_a CH_u CH_dz CH_a CH_u
資料	CH_dz CH_U CH_l CH_i CH_a CH_u
同義	CH_t CH_o CH_N# CH_# CH_i #2
現代	CH_si CH_i CH_E CH_n# CH_d CH_a CH_i
可靠	CH_k CH_@ CH_k CH_a CH_u
丟給	CH_d CH_i CH_o CH_u CH_g CH_e CH_i
釣魚	CH_d CH_i CH_a CH_u CH_# CH_y
二號	CH_# CH_@c CH_h CH_a CH_u
三號	CH_s CH_a CH_n# CH_h CH_a CH_u
六號	CH_l CH_i CH_o CH_u CH_h CH_a CH_u
吃到	CH_tsc CH_Uc CH_d CH_a CH_u
之多	CH_dzc CH_Uc CH_d CH_u CH_o
補上	CH_b CH_u CH_sc CH_a CH_N#
人因	CH_Zc CH_@ CH_n# CH_# CH_i CH_n#
來上	CH_l CH_a CH_i CH_sc CH_a CH_N#
公告	CH_g CH_o CH_N# CH_g CH_a CH_u
因故	CH_# CH_i CH_n# CH_g CH_u
進修	CH_dzi CH_i CH_n# CH_si CH_i CH_o CH_u
擁有	CH_# CH_y CH_o CH_N# CH_# CH_i CH_o CH_u
作業	CH_dz CH_u CH_o CH_# CH_i CH_E
註冊	CH_dzc CH_u CH_ts CH_@
帳號	CH_dzc CH_a CH_N# CH_h CH_a CH_u
原先	CH_# CH_y CH_E CH_n# CH_si CH_i CH_E CH_n#
執行	CH_dzc CH_Uc CH_si CH_i CH_N# #1
自行	CH_dz CH_U CH_si CH_i CH_N#
目錄	CH_m CH_u CH_l CH_u
導致	CH_d CH_a CH_u CH_dzc CH_Uc
講解	CH_dzi CH_i CH_a CH_N# CH_dzi CH_i CH_E
範例	CH_f CH_a CH_n# CH_l CH_i
複製	CH_f CH_u CH_dzc CH_Uc
估算	CH_g CH_u CH_s CH_u CH_a CH_n#
反覆	CH_f CH_a CH_n# CH_f CH_u
寫到	CH_si CH_i CH_E CH_d CH_a CH_u
適當	CH_sc CH_Uc CH_d CH_a CH_N#
來信	CH_l CH_a CH_i CH_si CH_i CH_n#
主旨	CH_dzc CH_u CH_dzc CH_Uc
小心	CH_si CH_i CH_a CH_u CH_si CH_i CH_n#
登記	CH_d CH_@ CH_N# CH_dzi CH_i
平衡	CH_p CH_i CH_N# CH_h CH_@ CH_N#
智慧	CH_dzc CH_Uc CH_h CH_u CH_e CH_i #1
財產	CH_ts CH_a CH_i CH_tsc CH_a CH_n#
外流	CH_# CH_u CH_a CH_i CH_l CH_i CH_o CH_u
天大	CH_t CH_i CH_E CH_n# CH_d CH_a
不得	CH_b CH_u CH_d CH_@ #1
練習	CH_l CH_i CH_E CH_n# CH_si CH_i #1
拜託	CH_b CH_a CH_i CH_t CH_u CH_o
還給	CH_h CH_u CH_a CH_n# CH_g CH_e CH_i
完畢	CH_# CH_u CH_a CH_n# CH_b CH_i
收起	CH_sc CH_o CH_u CH_tsi CH_i
轉給	CH_dzc CH_u CH_a CH_n# CH_g CH_e CH_i
中午	CH_dzc CH_o CH_N# CH_# CH_u #1
最少	CH_dz CH_u CH_e CH_i CH_sc CH_a CH_u
男生	CH_n CH_a CH_n# CH_sc CH_@ CH_N#
用心	CH_# CH_y CH_o CH_N# CH_si CH_i CH_n#
四週	CH_s CH_U CH_dzc CH_o CH_u
呼呼	CH_h CH_u CH_h CH_u #1
級數	CH_dzi CH_i CH_sc CH_u #2
她們	CH_t CH_a CH_m CH_@ CH_n# #1
居然	CH_dzi CH_y CH_Zc CH_a CH_n#
所在	CH_s CH_u CH_o CH_dz CH_a CH_i
祇是	CH_dzc CH_Uc CH_sc CH_Uc #2
尷尬	CH_dzi CH_i CH_E CH_n# CH_dzi CH_i CH_E #1
尷尬	CH_g CH_a CH_n# CH_g CH_a
介意	CH_dzi CH_i CH_E CH_# CH_i #1
合法	CH_h CH_@ CH_f CH_a #1
過多	CH_g CH_u CH_o CH_d CH_u CH_o
搬動	CH_b CH_a CH_n# CH_d CH_o CH_N#
華視	CH_h CH_u CH_a CH_sc CH_Uc #1
中視	CH_dzc CH_o CH_N# CH_sc CH_Uc #2
得了	CH_d CH_@ CH_l CH_i CH_a CH_u
得了	CH_d CH_@ CH_l CH_@
好拉	CH_h CH_a CH_u CH_l CH_a
送進	CH_s CH_o CH_N# CH_dzi CH_i CH_n#
對對	CH_d CH_u CH_e CH_i CH_d CH_u CH_e CH_i
翻過	CH_f CH_a CH_n# CH_g CH_u CH_o
上舉	CH_sc CH_a CH_N# CH_dzi CH_y
位子	CH_# CH_u CH_e CH_i CH_dz CH_U
或許	CH_h CH_u CH_o CH_si CH_y
重點	CH_dzc CH_o CH_N# CH_d CH_i CH_E CH_n#
故事	CH_g CH_u CH_sc CH_Uc #2
年輕	CH_n CH_i CH_E CH_n# CH_tsi CH_i CH_N#
漂亮	CH_p CH_i CH_a CH_u CH_l CH_i CH_a CH_N#
笑笑	CH_si CH_i CH_a CH_u CH_si CH_i CH_a CH_u #2
稱讚	CH_tsc CH_@ CH_N# CH_dz CH_a CH_n#
圖畫	CH_t CH_u CH_h CH_u CH_a
斯文	CH_s CH_U CH_# CH_u CH_@ CH_n#
罵人	CH_m CH_a CH_Zc CH_@ CH_n#
學得	CH_si CH_y CH_E CH_d CH_@
精簡	CH_dzi CH_i CH_N# CH_dzi CH_i CH_E CH_n#
腦袋	CH_n CH_a CH_u CH_d CH_a CH_i
做錯	CH_dz CH_u CH_o CH_ts CH_u CH_o
開學	CH_k CH_a CH_i CH_si CH_y CH_E
靈活	CH_l CH_i CH_N# CH_h CH_u CH_o
放棄	CH_f CH_a CH_N# CH_tsi CH_i
可惜	CH_k CH_@ CH_si CH_i #1
效應	CH_si CH_i CH_a CH_u CH_# CH_i CH_N#
新鮮	CH_si CH_i CH_n# CH_si CH_i CH_E CH_n#
一會	CH_# CH_i CH_h CH_u CH_e CH_i #1
看完	CH_k CH_a CH_n# CH_# CH_u CH_a CH_n#
換到	CH_h CH_u CH_a CH_n# CH_d CH_a CH_u
大和	CH_d CH_a CH_h CH_@
多點	CH_d CH_u CH_o CH_d CH_i CH_E CH_n#
變為	CH_b CH_i CH_E CH_n# CH_# CH_u CH_e CH_i
零二	CH_l CH_i CH_N# CH_# CH_@c
零三	CH_l CH_i CH_N# CH_s CH_a CH_n#
過從	CH_g CH_u CH_o CH_ts CH_o CH_N#
個展	CH_g CH_@ CH_dzc CH_a CH_n#
開來	CH_k CH_a CH_i CH_l CH_a CH_i
有機	CH_# CH_i CH_o CH_u CH_dzi CH_i #1
角度	CH_dzi CH_i CH_a CH_u CH_d CH_u #1
長上	CH_dzc CH_a CH_N# CH_sc CH_a CH_N#
線上	CH_si CH_i CH_E CH_n# CH_sc CH_a CH_N#
人們	CH_Zc CH_@ CH_n# CH_m CH_@ CH_n#
用加	CH_# CH_y CH_o CH_N# CH_dzi CH_i CH_a
點上	CH_d CH_i CH_E CH_n# CH_sc CH_a CH_N#
浪費	CH_l CH_a CH_N# CH_f CH_e CH_i
多多	CH_d CH_u CH_o CH_d CH_u CH_o
保留	CH_b CH_a CH_u CH_l CH_i CH_o CH_u
外長	CH_# CH_u CH_a CH_i CH_dzc CH_a CH_N#
搬來	CH_b CH_a CH_n# CH_l CH_a CH_i
區隔	CH_tsi CH_y CH_g CH_@
標的	CH_b CH_i CH_a CH_u CH_d CH_i
回憶	CH_h CH_u CH_e CH_i CH_# CH_i #2
看來	CH_k CH_a CH_n# CH_l CH_a CH_i
巧妙	CH_tsi CH_i CH_a CH_u CH_m CH_i CH_a CH_u
放過	CH_f CH_a CH_N# CH_g CH_u CH_o
中性	CH_dzc CH_o CH_N# CH_si CH_i CH_N#
自成	CH_dz CH_U CH_tsc CH_@ CH_N#
右下	CH_# CH_i CH_o CH_u CH_si CH_i CH_a #2
不宜	CH_b CH_u CH_# CH_i #2
說來	CH_sc CH_u CH_o CH_l CH_a CH_i
看好	CH_k CH_a CH_n# CH_h CH_a CH_u
負責	CH_f CH_u CH_dz CH_@
第九	CH_d CH_i CH_dzi CH_i CH_o CH_u
第十	CH_d CH_i CH_sc CH_Uc #1
第八	CH_d CH_i CH_b CH_a
恐怕	CH_k CH_o CH_N# CH_p CH_a
帶過	CH_d CH_a CH_i CH_g CH_u CH_o
抽換	CH_tsc CH_o CH_u CH_h CH_u CH_a CH_n#
化到	CH_h CH_u CH_a CH_d CH_a CH_u
改成	CH_g CH_a CH_i CH_tsc CH_@ CH_N#
想通	CH_si CH_i CH_a CH_N# CH_t CH_o CH_N# #2
首先	CH_sc CH_o CH_u CH_si CH_i CH_E CH_n# #1
拉大	CH_l CH_a CH_d CH_a
不變	CH_b CH_u CH_b CH_i CH_E CH_n#
壓低	CH_# CH_i CH_a CH_d CH_i
唯有	CH_# CH_u CH_e CH_i CH_# CH_i CH_o CH_u
凡事	CH_f CH_a CH_n# CH_sc CH_Uc #1
整齊	CH_dzc CH_@ CH_N# CH_tsi CH_i
既是	CH_dzi CH_i CH_sc CH_Uc #1
原本	CH_# CH_y CH_E CH_n# CH_b CH_@ CH_n#
經驗	CH_dzi CH_i CH_N# CH_# CH_i CH_E CH_n#
縮成	CH_s CH_u CH_o CH_tsc CH_@ CH_N#
點數	CH_d CH_i CH_E CH_n# CH_sc CH_u
適用	CH_sc CH_Uc CH_# CH_y CH_o CH_N# #1
代課	CH_d CH_a CH_i CH_k CH_@
延後	CH_# CH_i CH_E CH_n# CH_h CH_o CH_u
接著	CH_dzi CH_i CH_E CH_dzc CH_@
交給	CH_dzi CH_i CH_a CH_u CH_g CH_e CH_i
兩年	CH_l CH_i CH_a CH_N# CH_n CH_i CH_E CH_n#
命題	CH_m CH_i CH_N# CH_t CH_i #1
多半	CH_d CH_u CH_o CH_b CH_a CH_n#
回成	CH_h CH_u CH_e CH_i CH_tsc CH_@ CH_N#
光碟	CH_g CH_u CH_a CH_N# CH_d CH_i CH_E #1
連成	CH_l CH_i CH_E CH_n# CH_tsc CH_@ CH_N#
選定	CH_si CH_y CH_E CH_n# CH_d CH_i CH_N#
快慢	CH_k CH_u CH_a CH_i CH_m CH_a CH_n#
成份	CH_tsc CH_@ CH_N# CH_f CH_@ CH_n# #1
取得	CH_tsi CH_y CH_d CH_@
有空	CH_# CH_i CH_o CH_u CH_k CH_o CH_N#
來得	CH_l CH_a CH_i CH_d CH_@
名子	CH_m CH_i CH_N# CH_dz CH_U #2
密密	CH_m CH_i CH_m CH_i
連線	CH_l CH_i CH_E CH_n# CH_si CH_i CH_E CH_n#
空虛	CH_k CH_o CH_N# CH_si CH_y
生活	CH_sc CH_@ CH_N# CH_h CH_u CH_o
輪子	CH_l CH_u CH_@ CH_n# CH_dz CH_U
兩三	CH_l CH_i CH_a CH_N# CH_s CH_a CH_n#
得多	CH_d CH_@ CH_d CH_u CH_o
法會	CH_f CH_a CH_h CH_u CH_e CH_i #2
須要	CH_si CH_y CH_# CH_i CH_a CH_u #1
少量	CH_sc CH_a CH_u CH_l CH_i CH_a CH_N#
考驗	CH_k CH_a CH_u CH_# CH_i CH_E CH_n#
近年	CH_dzi CH_i CH_n# CH_n CH_i CH_E CH_n# #2
留給	CH_l CH_i CH_o CH_u CH_g CH_e CH_i
不光	CH_b CH_u CH_g CH_u CH_a CH_N#
去向	CH_tsi CH_y CH_si CH_i CH_a CH_N# #2
弱點	CH_Zc CH_u CH_o CH_d CH_i CH_E CH_n#
建立	CH_dzi CH_i CH_E CH_n# CH_l CH_i
調出	CH_t CH_i CH_a CH_u CH_tsc CH_u #2
由來	CH_# CH_i CH_o CH_u CH_l CH_a CH_i
太少	CH_t CH_a CH_i CH_sc CH_a CH_u
太太	CH_t CH_a CH_i CH_t CH_a CH_i
寧可	CH_n CH_i CH_N# CH_k CH_@
高到	CH_g CH_a CH_u CH_d CH_a CH_u
難免	CH_n CH_a CH_n# CH_m CH_i CH_E CH_n#
量比	CH_l CH_i CH_a CH_N# CH_b CH_i #1
折衷	CH_dzc CH_@ CH_dzc CH_o CH_N#
服氣	CH_f CH_u CH_tsi CH_i
分佈	CH_f CH_@ CH_n# CH_b CH_u #2
扣掉	CH_k CH_o CH_u CH_d CH_i CH_a CH_u
重整	CH_tsc CH_o CH_N# CH_dzc CH_@ CH_N#
排列	CH_p CH_a CH_i CH_l CH_i CH_E
投到	CH_t CH_o CH_u CH_d CH_a CH_u
含有	CH_h CH_a CH_n# CH_# CH_i CH_o CH_u
延續	CH_# CH_i CH_E CH_n# CH_si CH_y
上萬	CH_sc CH_a CH_N# CH_# CH_u CH_a CH_n# #1
女生	CH_n CH_y CH_sc CH_@ CH_N#
去分	CH_tsi CH_y CH_f CH_@ CH_n#
個性	CH_g CH_@ CH_si CH_i CH_N#
具有	CH_dzi CH_y CH_# CH_i CH_o CH_u
速度	CH_s CH_u CH_d CH_u
精采	CH_dzi CH_i CH_N# CH_ts CH_a CH_i
調回	CH_d CH_i CH_a CH_u CH_h CH_u CH_e CH_i
改用	CH_g CH_a CH_i CH_# CH_y CH_o CH_N#
會請	CH_h CH_u CH_e CH_i CH_tsi CH_i CH_N#
官方	CH_g CH_u CH_a CH_n# CH_f CH_a CH_N#
平台	CH_p CH_i CH_N# CH_t CH_a CH_i
安裝	CH_# CH_a CH_n# CH_dzc CH_u CH_a CH_N#
遇到	CH_# CH_y CH_d CH_a CH_u
那時	CH_n CH_a CH_sc CH_Uc #1
分為	CH_f CH_@ CH_n# CH_# CH_u CH_e CH_i
商業	CH_sc CH_a CH_N# CH_# CH_i CH_E
交叉	CH_dzi CH_i CH_a CH_u CH_tsc CH_a
格式	CH_g CH_@ CH_sc CH_Uc
裝好	CH_dzc CH_u CH_a CH_N# CH_h CH_a CH_u
工商	CH_g CH_o CH_N# CH_sc CH_a CH_N#
產業	CH_tsc CH_a CH_n# CH_# CH_i CH_E
週五	CH_dzc CH_o CH_u CH_# CH_u
除法	CH_tsc CH_u CH_f CH_a #2
可用	CH_k CH_@ CH_# CH_y CH_o CH_N#
找來	CH_dzc CH_a CH_u CH_l CH_a CH_i
乾淨	CH_g CH_a CH_n# CH_dzi CH_i CH_N#
為準	CH_# CH_u CH_e CH_i CH_dzc CH_u CH_@ CH_n#
認定	CH_Zc CH_@ CH_n# CH_d CH_i CH_N#
肯定	CH_k CH_@ CH_n# CH_d CH_i CH_N#
歷史	CH_l CH_i CH_sc CH_Uc
開門	CH_k CH_a CH_i CH_m CH_@ CH_n#
勒索	CH_l CH_@ CH_s CH_u CH_o #1
前科	CH_tsi CH_i CH_E CH_n# CH_k CH_@
張三	CH_dzc CH_a CH_N# CH_s CH_a CH_n#
這時	CH_dzc CH_@ CH_sc CH_Uc #1
破解	CH_p CH_u CH_o CH_dzi CH_i CH_E
偷偷	CH_t CH_o CH_u CH_t CH_o CH_u
伸出	CH_sc CH_@ CH_n# CH_tsc CH_u
潛藏	CH_tsi CH_i CH_E CH_n# CH_ts CH_a CH_N#
政府	CH_dzc CH_@ CH_N# CH_f CH_u
李安	CH_l CH_i CH_# CH_a CH_n#
相互	CH_si CH_i CH_a CH_N# CH_h CH_u
跳高	CH_t CH_i CH_a CH_u CH_g CH_a CH_u
建構	CH_dzi CH_i CH_E CH_n# CH_g CH_o CH_u
兩萬	CH_l CH_i CH_a CH_N# CH_# CH_u CH_a CH_n#
十萬	CH_sc CH_Uc CH_# CH_u CH_a CH_n#
攻打	CH_g CH_o CH_N# CH_d CH_a
選舉	CH_si CH_y CH_E CH_n# CH_dzi CH_y
外交	CH_# CH_u CH_a CH_i CH_dzi CH_i CH_a CH_u #1
修憲	CH_si CH_i CH_o CH_u CH_si CH_i CH_E CH_n# #1
極端	CH_dzi CH_i CH_d CH_u CH_a CH_n#
星座	CH_si CH_i CH_N# CH_dz CH_u CH_o
跟上	CH_g CH_@ CH_n# CH_sc CH_a CH_N#
拆開	CH_tsc CH_a CH_i CH_k CH_a CH_i
縮減	CH_s CH_u CH_o CH_dzi CH_i CH_E CH_n#
八百	CH_b CH_a CH_b CH_a CH_i
回頭	CH_h CH_u CH_e CH_i CH_t CH_o CH_u
分到	CH_f CH_@ CH_n# CH_d CH_a CH_u
三一	CH_s CH_a CH_n# CH_# CH_i
北市	CH_b CH_e CH_i CH_sc CH_Uc
味道	CH_# CH_u CH_e CH_i CH_d CH_a CH_u
似的	CH_s CH_U CH_d CH_@
二萬	CH_# CH_@c CH_# CH_u CH_a CH_n#
相像	CH_si CH_i CH_a CH_N# CH_si CH_i CH_a CH_N# #3
不動	CH_b CH_u CH_d CH_o CH_N#
帶到	CH_d CH_a CH_i CH_d CH_a CH_u
滿分	CH_m CH_a CH_n# CH_f CH_@ CH_n#
接下	CH_dzi CH_i CH_E CH_si CH_i CH_a #1
爸爸	CH_b CH_a CH_b CH_a #1
調整	CH_t CH_i CH_a CH_u CH_dzc CH_@ CH_N#
發表	CH_f CH_a CH_b CH_i CH_a CH_u
國情	CH_g CH_u CH_o CH_tsi CH_i CH_N#
經濟	CH_dzi CH_i CH_N# CH_dzi CH_i #1
政策	CH_dzc CH_@ CH_N# CH_ts CH_@
一陣	CH_# CH_i CH_dzc CH_@ CH_n# #1
改名	CH_g CH_a CH_i CH_m CH_i CH_N#
信件	CH_si CH_i CH_n# CH_dzi CH_i CH_E CH_n#
歸類	CH_g CH_u CH_e CH_i CH_l CH_e CH_i
型態	CH_si CH_i CH_N# CH_t CH_a CH_i
零零	CH_l CH_i CH_N# CH_l CH_i CH_N#
半徑	CH_b CH_a CH_n# CH_dzi CH_i CH_N#
切到	CH_tsi CH_i CH_E CH_d CH_a CH_u
定一	CH_d CH_i CH_N# CH_# CH_i #1
一向	CH_# CH_i CH_si CH_i CH_a CH_N# #1
畫大	CH_h CH_u CH_a CH_d CH_a #1
上下	CH_sc CH_a CH_N# CH_si CH_i CH_a
充份	CH_tsc CH_o CH_N# CH_f CH_@ CH_n# #2
成對	CH_tsc CH_@ CH_N# CH_d CH_u CH_e CH_i
高上	CH_g CH_a CH_u CH_sc CH_a CH_N#
當為	CH_d CH_a CH_N# CH_# CH_u CH_e CH_i
短短	CH_d CH_u CH_a CH_n# CH_d CH_u CH_a CH_n#
遠處	CH_# CH_y CH_E CH_n# CH_tsc CH_u
明白	CH_m CH_i CH_N# CH_b CH_a CH_i
藝術	CH_# CH_i CH_sc CH_u #1
醫療	CH_# CH_i CH_l CH_i CH_a CH_u #2
法律	CH_f CH_a CH_l CH_y
行政	CH_si CH_i CH_N# CH_dzc CH_@ CH_N# #1
休閒	CH_si CH_i CH_o CH_u CH_si CH_i CH_E CH_n# #2
八年	CH_b CH_a CH_n CH_i CH_E CH_n#
工夫	CH_g CH_o CH_N# CH_f CH_u #1
修理	CH_si CH_i CH_o CH_u CH_l CH_i
展示	CH_dzc CH_a CH_n# CH_sc CH_Uc #2
北部	CH_b CH_e CH_i CH_b CH_u
短暫	CH_d CH_u CH_a CH_n# CH_dzc CH_a CH_n#
報導	CH_b CH_a CH_u CH_d CH_a CH_u
一早	CH_# CH_i CH_dz CH_a CH_u
搭乘	CH_d CH_a CH_tsc CH_@ CH_N# #2
上班	CH_sc CH_a CH_N# CH_b CH_a CH_n#
交通	CH_dzi CH_i CH_a CH_u CH_t CH_o CH_N#
市長	CH_sc CH_Uc CH_dzc CH_a CH_N#
市府	CH_sc CH_Uc CH_f CH_u
公車	CH_g CH_o CH_N# CH_dzi CH_y #2
交友	CH_dzi CH_i CH_a CH_u CH_# CH_i CH_o CH_u
訂製	CH_d CH_i CH_N# CH_dzc CH_Uc #1
漫畫	CH_m CH_a CH_n# CH_h CH_u CH_a
運動	CH_# CH_y CH_n# CH_d CH_o CH_N#
旅遊	CH_l CH_y CH_# CH_i CH_o CH_u
卡通	CH_k CH_a CH_t CH_o CH_N#
餐飲	CH_ts CH_a CH_n# CH_# CH_i CH_n#
購物	CH_g CH_o CH_u CH_# CH_u
就讀	CH_dzi CH_i CH_o CH_u CH_d CH_u
離家	CH_l CH_i CH_dzi CH_i CH_a
老大	CH_l CH_a CH_u CH_d CH_a
兒童	CH_# CH_@c CH_t CH_o CH_N#
相見	CH_si CH_i CH_a CH_N# CH_dzi CH_i CH_E CH_n#
相識	CH_si CH_i CH_a CH_N# CH_sc CH_Uc #2
何處	CH_h CH_@ CH_tsc CH_u
為何	CH_# CH_u CH_e CH_i CH_h CH_@
每當	CH_m CH_e CH_i CH_d CH_a CH_N#
醒來	CH_si CH_i CH_N# CH_l CH_a CH_i
詞句	CH_ts CH_U CH_dzi CH_y
目標	CH_m CH_u CH_b CH_i CH_a CH_u
原音	CH_# CH_y CH_E CH_n# CH_# CH_i CH_n# #1
七年	CH_tsi CH_i CH_n CH_i CH_E CH_n#
信託	CH_si CH_i CH_n# CH_t CH_u CH_o
高雄	CH_g CH_a CH_u CH_si CH_y CH_o CH_N#
帶來	CH_d CH_a CH_i CH_l CH_a CH_i
即時	CH_dzi CH_i CH_sc CH_Uc #2
私有	CH_s CH_U CH_# CH_i CH_o CH_u
人類	CH_Zc CH_@ CH_n# CH_l CH_e CH_i
上路	CH_sc CH_a CH_N# CH_l CH_u
沙發	CH_sc CH_a CH_f CH_a
適度	CH_sc CH_Uc CH_d CH_u #1
有利	CH_# CH_i CH_o CH_u CH_l CH_i
公視	CH_g CH_o CH_N# CH_sc CH_Uc #2
播放	CH_b CH_u CH_o CH_f CH_a CH_N#
彩色	CH_ts CH_a CH_i CH_s CH_@
原色	CH_# CH_y CH_E CH_n# CH_s CH_@
機場	CH_dzi CH_i CH_tsc CH_a CH_N#
意外	CH_# CH_i CH_# CH_u CH_a CH_i #1
趕到	CH_g CH_a CH_n# CH_d CH_a CH_u
不停	CH_b CH_u CH_t CH_i CH_N#
救援	CH_dzi CH_i CH_o CH_u CH_# CH_y CH_E CH_n#
當地	CH_d CH_a CH_N# CH_d CH_i
晚間	CH_# CH_u CH_a CH_n# CH_dzi CH_i CH_E CH_n#
西南	CH_si CH_i CH_n CH_a CH_n#
載有	CH_dz CH_a CH_i CH_# CH_i CH_o CH_u
乘客	CH_tsc CH_@ CH_N# CH_k CH_@
飛抵	CH_f CH_e CH_i CH_d CH_i
不幸	CH_b CH_u CH_si CH_i CH_N# #1
天候	CH_t CH_i CH_E CH_n# CH_h CH_o CH_u
不佳	CH_b CH_u CH_dzi CH_i CH_a
不慎	CH_b CH_u CH_sc CH_@ CH_n#
衝出	CH_tsc CH_o CH_N# CH_tsc CH_u
跑道	CH_p CH_a CH_u CH_d CH_a CH_u #2
圍牆	CH_# CH_u CH_e CH_i CH_tsi CH_i CH_a CH_N#
撞上	CH_dzc CH_u CH_a CH_N# CH_sc CH_a CH_N# #2
馬路	CH_m CH_a CH_l CH_u
男童	CH_n CH_a CH_n# CH_t CH_o CH_N#
旅客	CH_l CH_y CH_k CH_@
衝撞	CH_tsc CH_o CH_N# CH_dzc CH_u CH_a CH_N#
指出	CH_dzc CH_Uc CH_tsc CH_u
公分	CH_g CH_o CH_N# CH_f CH_@ CH_n#
是否	CH_sc CH_Uc CH_f CH_o CH_u
肇事	CH_dzc CH_a CH_u CH_sc CH_Uc
當局	CH_d CH_a CH_N# CH_dzi CH_y
罹難	CH_l CH_i CH_n CH_a CH_n#
綜合	CH_dz CH_o CH_N# CH_h CH_@
同步	CH_t CH_o CH_N# CH_b CH_u
加快	CH_dzi CH_i CH_a CH_k CH_u CH_a CH_i
降落	CH_dzi CH_i CH_a CH_N# CH_l CH_u CH_o
遇上	CH_# CH_y CH_sc CH_a CH_N#
大麻	CH_d CH_a CH_m CH_a
毒品	CH_d CH_u CH_p CH_i CH_n#
種類	CH_dzc CH_o CH_N# CH_l CH_e CH_i
不少	CH_b CH_u CH_sc CH_a CH_u
販毒	CH_f CH_a CH_n# CH_d CH_u #1
八成	CH_b CH_a CH_tsc CH_@ CH_N#
發函	CH_f CH_a CH_h CH_a CH_n#
中廣	CH_dzc CH_o CH_N# CH_g CH_u CH_a CH_N#
股權	CH_g CH_u CH_tsi CH_y CH_E CH_n#
主播	CH_dzc CH_u CH_b CH_u CH_o
全國	CH_tsi CH_y CH_E CH_n# CH_g CH_u CH_o
觀眾	CH_g CH_u CH_a CH_n# CH_dzc CH_o CH_N#
釋出	CH_sc CH_Uc CH_tsc CH_u
稍早	CH_sc CH_a CH_u CH_dz CH_a CH_u
明確	CH_m CH_i CH_N# CH_tsi CH_y CH_E
年底	CH_n CH_i CH_E CH_n# CH_d CH_i
外勞	CH_# CH_u CH_a CH_i CH_l CH_a CH_u
桃園	CH_t CH_a CH_u CH_# CH_y CH_E CH_n#
法案	CH_f CH_a CH_# CH_a CH_n#
政黨	CH_dzc CH_@ CH_N# CH_d CH_a CH_N#
民生	CH_m CH_i CH_n# CH_sc CH_@ CH_N#
民俗	CH_m CH_i CH_n# CH_s CH_u
漁業	CH_# CH_y CH_# CH_i CH_E #1
底部	CH_d CH_i CH_b CH_u
疾病	CH_dzi CH_i CH_b CH_i CH_N#
韓國	CH_h CH_a CH_n# CH_g CH_u CH_o
日本	CH_Zc CH_Uc CH_b CH_@ CH_n#
災難	CH_dz CH_a CH_i CH_n CH_a CH_n#
火山	CH_h CH_u CH_o CH_sc CH_a CH_n#
豪雨	CH_h CH_a CH_u CH_# CH_y #1
颱風	CH_t CH_a CH_i CH_f CH_o CH_N#
火災	CH_h CH_u CH_o CH_dz CH_a CH_i
災害	CH_dz CH_a CH_i CH_h CH_a CH_i
清晨	CH_tsi CH_i CH_N# CH_tsc CH_@ CH_n#
街頭	CH_dzi CH_i CH_E CH_t CH_o CH_u
火燒	CH_h CH_u CH_o CH_sc CH_a CH_u
引發	CH_# CH_i CH_n# CH_f CH_a
爆炸	CH_b CH_a CH_u CH_dzc CH_a
